"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.10061291779097,0.97,0.197,0,"9","RHOC"
3.1596447406713e-292,2.7169583716634,0.982,0.255,1.05968165312634e-287,"9","MS4A7"
5.06415508519524e-246,3.06665442130918,1,0.454,1.69841633247278e-241,"9","LST1"
3.52961531975241e-232,2.55579179977349,1,0.469,1.18376238593856e-227,"9","AIF1"
1.85275064605661e-226,2.24804395824587,1,0.444,6.21375511674465e-222,"9","FCER1G"
2.83584652540179e-198,2.10764648038257,1,0.737,9.51086207689253e-194,"9","COTL1"
6.35391557697412e-192,2.29756591655514,1,0.833,2.13097620620558e-187,"9","SAT1"
0,2.39205650409233,0.958,0.065,0,"10","CD8B"
0,1.49944462994411,0.86,0.111,0,"10","CD8A"
0,1.31099348394715,0.564,0.007,0,"10","LINC02446"
2.69789125421692e-226,1.63072765638624,0.475,0.048,9.04818768839272e-222,"10","S100B"
4.38416541266793e-186,1.06946935773941,0.615,0.102,1.47036139610057e-181,"10","NELL2"
1.05072298160274e-139,1.05136271199731,0.761,0.199,3.52391473569927e-135,"10","TRABD2A"
6.57455019104838e-130,1.13509065547205,0.758,0.213,2.2049726430738e-125,"10","CCR7"
3.84553257523017e-125,1.02067421184685,0.71,0.185,1.28971471508069e-120,"10","LEF1"
1.12851161625253e-102,1.04111194931617,0.934,0.405,3.78480225858773e-98,"10","TCF7"
3.45686449805012e-90,1.00764427488356,0.994,0.748,1.15936321535605e-85,"10","LDHB"
0,7.83263260047821,0.991,0.06,0,"11","PPBP"
0,6.8330958879053,1,0.026,0,"11","PF4"
0,5.79115380853211,0.982,0.021,0,"11","CAVIN2"
0,5.5898829308505,0.963,0.021,0,"11","GNG11"
0,5.41454148187127,0.982,0.013,0,"11","TUBB1"
0,4.82020690165589,0.945,0.02,0,"11","CLU"
0,4.64010206527946,0.853,0.004,0,"11","GP9"
1.78447304755341e-212,4.78904129706563,0.917,0.092,5.98476570688464e-208,"11","HIST1H2AC"
1.15179365087421e-119,6.10585171903578,1,0.252,3.86288554630192e-115,"11","NRGN"
4.46083177262893e-105,4.71119252199362,0.954,0.243,1.49607375990429e-100,"11","RGS18"
3.63585746866886e-97,1.4208893014321,0.933,0.126,1.21939387784216e-92,"12","IGHD"
1.89385750703741e-79,1.15040532989065,0.899,0.141,6.35161930710206e-75,"12","LINC00926"
1.92855598178344e-76,1.46409963901338,1,0.185,6.4679910517053e-72,"12","MS4A1"
1.85295397327363e-73,1.46641518593176,0.989,0.178,6.21443703556511e-69,"12","CD79A"
3.59350175924363e-73,1.31035157241999,0.753,0.108,1.20518862001513e-68,"12","TCL1A"
9.74855461629528e-71,1.68429614500343,0.978,0.194,3.26947024721311e-66,"12","IGHM"
2.69198211714419e-70,1.04197376855621,0.91,0.157,9.02836962447819e-66,"12","BANK1"
6.89627612118191e-47,0.986902024074251,0.944,0.255,2.31287308552199e-42,"12","CD79B"
1.74807761415416e-43,1.39953147893916,0.584,0.114,5.86270270235022e-39,"12","IGLC2"
1.50247509072057e-27,1.13512954906462,0.787,0.307,5.03900095925864e-23,"12","IGKC"
5.84581181790043e-292,3.14596736342799,0.878,0.042,1.96056836748745e-287,"13","FCER1A"
1.78539890936704e-245,2.34001146318221,0.829,0.043,5.98787086223517e-241,"13","CLEC10A"
1.65300345291028e-67,2.89389553366545,1,0.306,5.54384298037049e-63,"13","HLA-DQA1"
1.63977769628393e-62,2.75951313237926,1,0.374,5.49948643779705e-58,"13","HLA-DQB1"
9.63762138715359e-61,2.4838001215648,1,0.429,3.23226546082357e-56,"13","CST3"
7.88845879145951e-58,3.22873201217567,1,0.557,2.64563130947969e-53,"13","HLA-DPB1"
1.11593208029693e-56,3.23262793128905,1,0.581,3.74261301089985e-52,"13","HLA-DPA1"
4.96162159513255e-54,2.82519895172542,1,0.533,1.66402865057555e-49,"13","HLA-DRB1"
1.37465465722234e-53,2.83512952100397,1,0.622,4.61031678939229e-49,"13","HLA-DRA"
4.52658295751564e-50,2.46017736331196,1,0.773,1.5181253922916e-45,"13","CD74"
2.36217531196464e-188,3.89455524668288,1,0.081,7.92226356126701e-184,"14","GZMB"
4.46730783656458e-185,4.23800230834066,1,0.086,1.49824570222703e-180,"14","JCHAIN"
4.48769514839654e-185,3.63592159712059,1,0.087,1.50508319886923e-180,"14","PLD4"
2.57007632119994e-137,3.76187131272927,0.986,0.12,8.61952196604035e-133,"14","ITM2C"
3.87288455062942e-112,3.52725306305529,1,0.162,1.29888802059009e-107,"14","CCDC50"
2.42977510623225e-104,3.68991436860289,1,0.177,8.14897975128172e-100,"14","TCF4"
1.5306368259334e-84,3.59685821428996,0.986,0.224,5.13344978681544e-80,"14","IRF7"
4.83444430203677e-82,4.17468929597448,0.361,0.021,1.62137593001709e-77,"14","PTGDS"
5.08896329061737e-67,3.75782197111276,1,0.338,1.70673650840726e-62,"14","IRF8"
1.60613832288103e-66,3.38802992203328,0.986,0.319,5.38666670727841e-62,"14","PPP1R14B"
1.762128011303e-35,1.18909279773368,1,0.189,5.90982492430802e-31,"15","MS4A1"
8.56473388570151e-17,1.12630395552991,1,0.365,2.87244045058657e-12,"15","S100A12"
3.38420909929002e-16,0.975531862350437,0.721,0.206,1.13499604771989e-11,"15","CYP1B1"
6.92061204004339e-15,1.07269888728785,1,0.367,2.32103486598975e-10,"15","VCAN"
2.74028815718516e-14,1.00885292518199,0.953,0.385,9.19037842156757e-10,"15","KLF4"
4.17333557151715e-14,1.29423133645274,1,0.6,1.39965328397542e-09,"15","S100A8"
4.25421101790523e-13,1.00269885072941,1,0.386,1.42677729118506e-08,"15","MNDA"
1.64398636812703e-12,1.29062450385395,1,0.702,5.51360148142444e-08,"15","S100A9"
5.2112678689646e-09,1.12737899904489,1,0.745,0.000174775501789335,"15","LYZ"
1.63780270533349e-08,0.996374775623713,1,0.716,0.000549286271314747,"15","CTSS"
0,1.43869271288262,0.444,0.003,0,"16","CYTL1"
1.22215347294102e-77,1.82385567698074,0.481,0.016,4.09885831754958e-73,"16","SPINK2"
3.15234133221185e-24,1.83536068366866,0.481,0.054,1.05723223599721e-19,"16","TNFRSF18"
2.46090716935489e-15,2.37380486696884,0.741,0.214,8.25339046458242e-11,"16","SOX4"
1.77265295956973e-12,1.57195346984101,0.37,0.061,5.94512349580496e-08,"16","TNFRSF4"
5.29767603510671e-12,1.41238005841737,0.556,0.144,1.77673458865409e-07,"16","ANKRD28"
2.8022612875041e-10,1.54004954791916,0.37,0.075,9.39822390603125e-06,"16","AC084033.3"
1.42520173250288e-07,1.8496774000417,0.444,0.144,0.00477984157046817,"16","CDK6"
2.38813341373293e-07,1.56440810432849,0.593,0.215,0.00800932184297751,"16","RRBP1"
0.000380398235079265,1.7908947863118,0.519,0.266,1,"16","KLRB1"
