"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.19475389755532,0.757,0.156,0,"0","LGALS2"
0,1.18161431289596,0.904,0.358,0,"0","JAML"
0,1.17466094386402,0.975,0.627,0,"0","RAC1"
0,1.17299665586156,0.928,0.363,0,"0","ZEB2"
0,1.17130527056246,0.839,0.328,0,"0","RAB11FIP1"
0,1.16497203732201,0.834,0.283,0,"0","RTN3"
0,1.16101056884107,0.485,0.065,0,"0","RETN"
0,1.15796582214427,0.905,0.309,0,"0","FGR"
0,1.15160756616558,0.932,0.432,0,"0","CEBPB"
0,1.15091599782037,0.833,0.277,0,"0","AGTRAP"
0,1.14512867348372,0.806,0.258,0,"0","IL17RA"
0,1.13740648603702,0.888,0.256,0,"0","SPI1"
0,1.13350578121079,0.688,0.141,0,"0","PLAUR"
0,1.1334583407283,0.909,0.434,0,"0","GLIPR1"
0,1.12824093206256,0.725,0.141,0,"0","IRAK3"
0,1.12549042796153,0.684,0.162,0,"0","IRS2"
0,1.12518227749478,0.927,0.493,0,"0","ATP6V0B"
0,1.12509031930501,0.943,0.482,0,"0","VSIR"
0,1.12418297605787,0.742,0.256,0,"0","GLUL"
0,1.12280786272001,0.873,0.345,0,"0","PPT1"
0,1.12012576036928,0.988,0.824,0,"0","KLF6"
0,1.12004750366662,0.81,0.172,0,"0","RAB32"
0,1.11328918274074,0.84,0.284,0,"0","PTPRE"
0,1.10192130305928,0.915,0.51,0,"0","VMP1"
0,1.09290628698165,0.73,0.149,0,"0","PRAM1"
0,1.08827473639835,0.721,0.16,0,"0","RAB31"
0,1.08055038796701,0.845,0.395,0,"0","ATP2B1-AS1"
0,1.07985936542835,0.757,0.209,0,"0","OGFRL1"
0,1.06425032236212,0.633,0.085,0,"0","CLEC4E"
0,1.06232079610311,0.633,0.101,0,"0","FAM198B"
0,1.05622474921947,0.675,0.119,0,"0","ASGR1"
0,1.0509449809793,0.991,0.749,0,"0","LCP1"
0,1.04364147157227,0.535,0.056,0,"0","ALDH1A1"
0,1.04309271187981,0.792,0.2,0,"0","LMO2"
0,1.03750075459707,0.589,0.059,0,"0","QPCT"
0,1.02866490554062,0.684,0.138,0,"0","PLXDC2"
0,1.01860486005999,0.593,0.09,0,"0","TREM1"
0,1.01704823455388,0.752,0.184,0,"0","IGSF6"
0,1.01207054277733,0.591,0.089,0,"0","VNN2"
0,1.01202496019234,0.909,0.431,0,"0","PYCARD"
0,1.00139192801996,0.661,0.131,0,"0","HNMT"
0,0.99617344079589,0.781,0.276,0,"0","CAPG"
0,0.992515881759895,0.701,0.168,0,"0","FCGR2A"
0,0.990383325582223,0.791,0.357,0,"0","MYADM"
0,0.989942614994824,0.825,0.289,0,"0","CTSH"
0,0.983193366767167,1,0.963,0,"0","OAZ1"
0,0.981525189515819,0.665,0.151,0,"0","MSRB1"
0,0.981022648888085,0.786,0.281,0,"0","ADA2"
0,0.974162219141294,0.488,0.056,0,"0","CES1"
0,0.970435076374511,0.872,0.451,0,"0","ZFAND5"
0,0.95939319587778,0.912,0.535,0,"0","GLRX"
0,0.959383389036262,0.716,0.282,0,"0","SOD2"
0,0.957620530788013,0.971,0.747,0,"0","CD44"
0,0.956320339905585,0.572,0.129,0,"0","TMEM176B"
0,0.955933359807053,0.754,0.199,0,"0","RXRA"
0,0.95392070491261,0.667,0.145,0,"0","LRP1"
0,0.946941851743828,0.696,0.204,0,"0","NAIP"
0,0.942727353024465,0.629,0.128,0,"0","RBM47"
0,0.941700355696538,0.647,0.138,0,"0","GAS7"
0,0.940079974339764,0.896,0.41,0,"0","ANXA5"
0,0.939138994976128,0.586,0.106,0,"0","CKAP4"
0,0.93763835306481,0.882,0.508,0,"0","AC007952.4"
0,0.93741325082751,0.714,0.22,0,"0","CCDC88A"
0,0.936381053270528,0.564,0.087,0,"0","CREB5"
0,0.936039840864043,0.749,0.204,0,"0","CPPED1"
0,0.935782320810153,0.671,0.155,0,"0","CLEC4A"
0,0.935300079196951,0.906,0.517,0,"0","H2AFY"
0,0.933178195542302,0.733,0.231,0,"0","RASSF2"
0,0.930506316630547,0.888,0.538,0,"0","PGAM1"
0,0.929666107085843,0.858,0.364,0,"0","LYST"
0,0.92857098026647,0.751,0.288,0,"0","EVI2A"
0,0.928234950019116,0.914,0.568,0,"0","AHNAK"
0,0.924994042966293,0.655,0.137,0,"0","CD33"
0,0.92472388833886,0.623,0.104,0,"0","PYGL"
